,city,city_ibge_code,date,estimated_population,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths
588,Biguaçu,4202305.0,2020-04-05,69486.0,1,1.4391399999999999,0.0,0,0,0
596,Florianópolis,4205407.0,2020-04-05,508826.0,94,18.4739,0.0213,2,3,0
598,Governador Celso Ramos,4206009.0,2020-04-05,14606.0,2,13.693,0.0,0,1,0
617,Palhoça,4211900.0,2020-04-05,175272.0,3,1.71163,0.0,0,0,0
629,São José,4216602.0,2020-04-05,250181.0,17,6.7950800000000005,0.0,0,2,0
632,São Pedro de Alcântara,4217253.0,2020-04-05,5935.0,1,16.8492,0.0,0,0,0
638,Antônio Carlos,4201208.0,2020-04-06,8613.0,8,92.88285,0.125,1,0,0
643,Biguaçu,4202305.0,2020-04-06,69486.0,1,1.4391399999999999,0.0,0,0,0
652,Florianópolis,4205407.0,2020-04-06,508826.0,99,19.45655,0.0202,2,5,0
654,Governador Celso Ramos,4206009.0,2020-04-06,14606.0,2,13.693,0.0,0,0,0
673,Palhoça,4211900.0,2020-04-06,175272.0,3,1.71163,0.0,0,0,0
681,Santo Amaro da Imperatriz,4215703.0,2020-04-06,23579.0,1,4.24106,0.0,0,1,0
686,São José,4216602.0,2020-04-06,250181.0,17,6.7950800000000005,0.0,0,0,0
689,São Pedro de Alcântara,4217253.0,2020-04-06,5935.0,1,16.8492,0.0,0,0,0
696,Águas Mornas,4200606.0,2020-04-06,6559.0,1,15.246229999999999,0.0,0,1,0
699,Antônio Carlos,4201208.0,2020-04-07,8613.0,9,104.49320999999999,0.1111,1,1,0
704,Biguaçu,4202305.0,2020-04-07,69486.0,1,1.4391399999999999,0.0,0,0,0
713,Florianópolis,4205407.0,2020-04-07,508826.0,114,22.40452,0.0263,3,15,1
715,Governador Celso Ramos,4206009.0,2020-04-07,14606.0,2,13.693,0.0,0,0,0
734,Palhoça,4211900.0,2020-04-07,175272.0,3,1.71163,0.3333,1,0,1
744,Santo Amaro da Imperatriz,4215703.0,2020-04-07,23579.0,1,4.24106,0.0,0,0,0
749,São José,4216602.0,2020-04-07,250181.0,19,7.5945,0.0,0,2,0
752,São Pedro de Alcântara,4217253.0,2020-04-07,5935.0,1,16.8492,0.0,0,0,0
759,Águas Mornas,4200606.0,2020-04-07,6559.0,1,15.246229999999999,0.0,0,0,0
762,Antônio Carlos,4201208.0,2020-04-08,8613.0,9,104.49320999999999,0.2222,2,0,1
767,Biguaçu,4202305.0,2020-04-08,69486.0,2,2.8782799999999997,0.0,0,1,0
776,Florianópolis,4205407.0,2020-04-08,508826.0,123,24.173289999999998,0.0244,3,9,0
779,Governador Celso Ramos,4206009.0,2020-04-08,14606.0,3,20.5395,0.0,0,1,0
799,Palhoça,4211900.0,2020-04-08,175272.0,4,2.2821700000000003,0.25,1,1,0
809,Santo Amaro da Imperatriz,4215703.0,2020-04-08,23579.0,1,4.24106,0.0,0,0,0
815,São José,4216602.0,2020-04-08,250181.0,20,7.994210000000001,0.0,0,1,0
818,São Pedro de Alcântara,4217253.0,2020-04-08,5935.0,1,16.8492,0.0,0,0,0
826,Águas Mornas,4200606.0,2020-04-08,6559.0,1,15.246229999999999,0.0,0,0,0
829,Antônio Carlos,4201208.0,2020-04-09,8613.0,10,116.10356000000002,0.2,2,1,0
837,Biguaçu,4202305.0,2020-04-09,69486.0,2,2.8782799999999997,0.0,0,0,0
848,Florianópolis,4205407.0,2020-04-09,508826.0,166,32.62412,0.0181,3,43,0
852,Governador Celso Ramos,4206009.0,2020-04-09,14606.0,3,20.5395,0.0,0,0,0
875,Palhoça,4211900.0,2020-04-09,175272.0,7,3.99379,0.1429,1,3,0
887,Santo Amaro da Imperatriz,4215703.0,2020-04-09,23579.0,1,4.24106,0.0,0,0,0
894,São José,4216602.0,2020-04-09,250181.0,25,9.99277,0.0,0,5,0
897,São Pedro de Alcântara,4217253.0,2020-04-09,5935.0,1,16.8492,0.0,0,0,0
906,Águas Mornas,4200606.0,2020-04-09,6559.0,1,15.246229999999999,0.0,0,0,0
909,Antônio Carlos,4201208.0,2020-04-10,8613.0,11,127.71392,0.1818,2,1,0
917,Biguaçu,4202305.0,2020-04-10,69486.0,2,2.8782799999999997,0.0,0,0,0
928,Florianópolis,4205407.0,2020-04-10,508826.0,167,32.82065,0.018,3,1,0
932,Governador Celso Ramos,4206009.0,2020-04-10,14606.0,3,20.5395,0.0,0,0,0
956,Palhoça,4211900.0,2020-04-10,175272.0,6,3.42325,0.1667,1,-1,0
968,Santo Amaro da Imperatriz,4215703.0,2020-04-10,23579.0,1,4.24106,0.0,0,0,0
975,São José,4216602.0,2020-04-10,250181.0,25,9.99277,0.0,0,0,0
978,São Pedro de Alcântara,4217253.0,2020-04-10,5935.0,1,16.8492,0.0,0,0,0
987,Águas Mornas,4200606.0,2020-04-10,6559.0,1,15.246229999999999,0.0,0,0,0
990,Antônio Carlos,4201208.0,2020-04-11,8613.0,11,127.71392,0.2727,3,0,1
998,Biguaçu,4202305.0,2020-04-11,69486.0,2,2.8782799999999997,0.0,0,0,0
1009,Florianópolis,4205407.0,2020-04-11,508826.0,173,33.999829999999996,0.0173,3,6,0
1013,Governador Celso Ramos,4206009.0,2020-04-11,14606.0,3,20.5395,0.0,0,0,0
1037,Palhoça,4211900.0,2020-04-11,175272.0,6,3.42325,0.1667,1,0,0
1050,Santo Amaro da Imperatriz,4215703.0,2020-04-11,23579.0,1,4.24106,0.0,0,0,0
1057,São José,4216602.0,2020-04-11,250181.0,24,9.59305,0.0,0,-1,0
1060,São Pedro de Alcântara,4217253.0,2020-04-11,5935.0,1,16.8492,0.0,0,0,0
1069,Águas Mornas,4200606.0,2020-04-11,6559.0,1,15.246229999999999,0.0,0,0,0
1072,Antônio Carlos,4201208.0,2020-04-12,8613.0,11,127.71392,0.2727,3,0,0
1080,Biguaçu,4202305.0,2020-04-12,69486.0,2,2.8782799999999997,0.0,0,0,0
1091,Florianópolis,4205407.0,2020-04-12,508826.0,177,34.785959999999996,0.0169,3,4,0
1095,Governador Celso Ramos,4206009.0,2020-04-12,14606.0,3,20.5395,0.0,0,0,0
1120,Palhoça,4211900.0,2020-04-12,175272.0,9,5.13488,0.1111,1,3,0
1133,Santo Amaro da Imperatriz,4215703.0,2020-04-12,23579.0,1,4.24106,0.0,0,0,0
1140,São José,4216602.0,2020-04-12,250181.0,24,9.59305,0.0,0,0,0
1143,São Pedro de Alcântara,4217253.0,2020-04-12,5935.0,1,16.8492,0.0,0,0,0
1152,Águas Mornas,4200606.0,2020-04-12,6559.0,1,15.246229999999999,0.0,0,0,0
1155,Antônio Carlos,4201208.0,2020-04-13,8613.0,11,127.71392,0.2727,3,0,0
1163,Biguaçu,4202305.0,2020-04-13,69486.0,2,2.8782799999999997,0.0,0,0,0
1175,Florianópolis,4205407.0,2020-04-13,508826.0,199,39.10964,0.0151,3,22,0
1179,Governador Celso Ramos,4206009.0,2020-04-13,14606.0,3,20.5395,0.0,0,0,0
1205,Palhoça,4211900.0,2020-04-13,175272.0,11,6.2759599999999995,0.0909,1,2,0
1219,Santo Amaro da Imperatriz,4215703.0,2020-04-13,23579.0,1,4.24106,0.0,0,0,0
1226,São José,4216602.0,2020-04-13,250181.0,28,11.1919,0.0,0,4,0
1229,São Pedro de Alcântara,4217253.0,2020-04-13,5935.0,1,16.8492,0.0,0,0,0
1239,Águas Mornas,4200606.0,2020-04-13,6559.0,1,15.246229999999999,0.0,0,0,0
1242,Antônio Carlos,4201208.0,2020-04-14,8613.0,11,127.71392,0.2727,3,0,0
1250,Biguaçu,4202305.0,2020-04-14,69486.0,2,2.8782799999999997,0.0,0,0,0
1262,Florianópolis,4205407.0,2020-04-14,508826.0,207,40.68188,0.0145,3,8,0
1266,Governador Celso Ramos,4206009.0,2020-04-14,14606.0,3,20.5395,0.0,0,0,0
1292,Palhoça,4211900.0,2020-04-14,175272.0,11,6.2759599999999995,0.0909,1,0,0
1306,Santo Amaro da Imperatriz,4215703.0,2020-04-14,23579.0,1,4.24106,0.0,0,0,0
1313,São José,4216602.0,2020-04-14,250181.0,31,12.39103,0.0,0,3,0
1316,São Pedro de Alcântara,4217253.0,2020-04-14,5935.0,1,16.8492,0.0,0,0,0
1326,Águas Mornas,4200606.0,2020-04-14,6559.0,1,15.246229999999999,0.0,0,0,0
1329,Antônio Carlos,4201208.0,2020-04-15,8613.0,11,127.71392,0.2727,3,0,0
1337,Biguaçu,4202305.0,2020-04-15,69486.0,2,2.8782799999999997,0.0,0,0,0
1349,Florianópolis,4205407.0,2020-04-15,508826.0,214,42.0576,0.014,3,7,0
1353,Governador Celso Ramos,4206009.0,2020-04-15,14606.0,3,20.5395,0.0,0,0,0
1379,Palhoça,4211900.0,2020-04-15,175272.0,11,6.2759599999999995,0.0909,1,0,0
1394,Santo Amaro da Imperatriz,4215703.0,2020-04-15,23579.0,1,4.24106,0.0,0,0,0
1401,São José,4216602.0,2020-04-15,250181.0,31,12.39103,0.0,0,0,0
1404,São Pedro de Alcântara,4217253.0,2020-04-15,5935.0,1,16.8492,0.0,0,0,0
1414,Águas Mornas,4200606.0,2020-04-15,6559.0,1,15.246229999999999,0.0,0,0,0
1417,Antônio Carlos,4201208.0,2020-04-16,8613.0,11,127.71392,0.2727,3,0,0
1427,Biguaçu,4202305.0,2020-04-16,69486.0,2,2.8782799999999997,0.0,0,0,0
1440,Florianópolis,4205407.0,2020-04-16,508826.0,219,43.04025,0.0137,3,5,0
1444,Governador Celso Ramos,4206009.0,2020-04-16,14606.0,3,20.5395,0.0,0,0,0
1472,Palhoça,4211900.0,2020-04-16,175272.0,13,7.417039999999999,0.0769,1,2,0
1488,Santo Amaro da Imperatriz,4215703.0,2020-04-16,23579.0,1,4.24106,0.0,0,0,0
1495,São José,4216602.0,2020-04-16,250181.0,33,13.19045,0.0303,1,2,1
1498,São Pedro de Alcântara,4217253.0,2020-04-16,5935.0,1,16.8492,0.0,0,0,0
1508,Águas Mornas,4200606.0,2020-04-16,6559.0,1,15.246229999999999,0.0,0,0,0
1511,Antônio Carlos,4201208.0,2020-04-17,8613.0,11,127.71392,0.2727,3,0,0
1521,Biguaçu,4202305.0,2020-04-17,69486.0,2,2.8782799999999997,0.0,0,0,0
1534,Florianópolis,4205407.0,2020-04-17,508826.0,221,43.43332,0.0136,3,2,0
1538,Governador Celso Ramos,4206009.0,2020-04-17,14606.0,3,20.5395,0.0,0,0,0
1569,Palhoça,4211900.0,2020-04-17,175272.0,14,7.987589999999999,0.0714,1,1,0
1586,Santo Amaro da Imperatriz,4215703.0,2020-04-17,23579.0,1,4.24106,0.0,0,0,0
1593,São José,4216602.0,2020-04-17,250181.0,35,13.989870000000002,0.0286,1,2,0
1596,São Pedro de Alcântara,4217253.0,2020-04-17,5935.0,1,16.8492,0.0,0,0,0
1606,Águas Mornas,4200606.0,2020-04-17,6559.0,1,15.246229999999999,0.0,0,0,0
1609,Antônio Carlos,4201208.0,2020-04-18,8613.0,11,127.71392,0.2727,3,0,0
1619,Biguaçu,4202305.0,2020-04-18,69486.0,2,2.8782799999999997,0.0,0,0,0
1633,Florianópolis,4205407.0,2020-04-18,508826.0,224,44.022909999999996,0.0134,3,3,0
1637,Governador Celso Ramos,4206009.0,2020-04-18,14606.0,3,20.5395,0.0,0,0,0
1669,Palhoça,4211900.0,2020-04-18,175272.0,14,7.987589999999999,0.0714,1,0,0
1686,Santo Amaro da Imperatriz,4215703.0,2020-04-18,23579.0,1,4.24106,0.0,0,0,0
1693,São José,4216602.0,2020-04-18,250181.0,35,13.989870000000002,0.0286,1,0,0
1696,São Pedro de Alcântara,4217253.0,2020-04-18,5935.0,1,16.8492,0.0,0,0,0
1706,Águas Mornas,4200606.0,2020-04-18,6559.0,1,15.246229999999999,0.0,0,0,0
1709,Antônio Carlos,4201208.0,2020-04-19,8613.0,11,127.71392,0.2727,3,0,0
1719,Biguaçu,4202305.0,2020-04-19,69486.0,2,2.8782799999999997,0.0,0,0,0
1733,Florianópolis,4205407.0,2020-04-19,508826.0,232,45.59515,0.0129,3,8,0
1737,Governador Celso Ramos,4206009.0,2020-04-19,14606.0,3,20.5395,0.0,0,0,0
1769,Palhoça,4211900.0,2020-04-19,175272.0,17,9.69921,0.0588,1,3,0
1787,Santo Amaro da Imperatriz,4215703.0,2020-04-19,23579.0,1,4.24106,0.0,0,0,0
1794,São José,4216602.0,2020-04-19,250181.0,42,16.78785,0.0238,1,7,0
1797,São Pedro de Alcântara,4217253.0,2020-04-19,5935.0,1,16.8492,0.0,0,0,0
1808,Águas Mornas,4200606.0,2020-04-19,6559.0,1,15.246229999999999,0.0,0,0,0
1811,Antônio Carlos,4201208.0,2020-04-20,8613.0,11,127.71392,0.2727,3,0,0
1821,Biguaçu,4202305.0,2020-04-20,69486.0,2,2.8782799999999997,0.0,0,0,0
1835,Florianópolis,4205407.0,2020-04-20,508826.0,238,46.77434,0.0126,3,6,0
1839,Governador Celso Ramos,4206009.0,2020-04-20,14606.0,3,20.5395,0.0,0,0,0
1872,Palhoça,4211900.0,2020-04-20,175272.0,17,9.69921,0.0588,1,0,0
1890,Santo Amaro da Imperatriz,4215703.0,2020-04-20,23579.0,2,8.48212,0.0,0,1,0
1897,São José,4216602.0,2020-04-20,250181.0,43,17.18756,0.0233,1,1,0
1900,São Pedro de Alcântara,4217253.0,2020-04-20,5935.0,1,16.8492,0.0,0,0,0
1911,Águas Mornas,4200606.0,2020-04-20,6559.0,1,15.246229999999999,0.0,0,0,0
1914,Antônio Carlos,4201208.0,2020-04-21,8613.0,11,127.71392,0.2727,3,0,0
1924,Biguaçu,4202305.0,2020-04-21,69486.0,2,2.8782799999999997,0.0,0,0,0
1938,Florianópolis,4205407.0,2020-04-21,508826.0,240,47.1674,0.0167,4,2,1
1942,Governador Celso Ramos,4206009.0,2020-04-21,14606.0,3,20.5395,0.0,0,0,0
1975,Palhoça,4211900.0,2020-04-21,175272.0,17,9.69921,0.0588,1,0,0
1993,Santo Amaro da Imperatriz,4215703.0,2020-04-21,23579.0,2,8.48212,0.0,0,0,0
2000,São José,4216602.0,2020-04-21,250181.0,44,17.58727,0.0227,1,1,0
2003,São Pedro de Alcântara,4217253.0,2020-04-21,5935.0,1,16.8492,0.0,0,0,0
2014,Águas Mornas,4200606.0,2020-04-21,6559.0,1,15.246229999999999,0.0,0,0,0
2017,Antônio Carlos,4201208.0,2020-04-22,8613.0,11,127.71392,0.2727,3,0,0
2027,Biguaçu,4202305.0,2020-04-22,69486.0,2,2.8782799999999997,0.0,0,0,0
2041,Florianópolis,4205407.0,2020-04-22,508826.0,244,47.953520000000005,0.0164,4,4,0
2045,Governador Celso Ramos,4206009.0,2020-04-22,14606.0,3,20.5395,0.0,0,0,0
2078,Palhoça,4211900.0,2020-04-22,175272.0,19,10.84029,0.0526,1,2,0
2096,Santo Amaro da Imperatriz,4215703.0,2020-04-22,23579.0,3,12.723189999999999,0.0,0,1,0
2103,São José,4216602.0,2020-04-22,250181.0,46,18.386689999999998,0.0217,1,2,0
2106,São Pedro de Alcântara,4217253.0,2020-04-22,5935.0,1,16.8492,0.0,0,0,0
2117,Águas Mornas,4200606.0,2020-04-22,6559.0,1,15.246229999999999,0.0,0,0,0
2120,Antônio Carlos,4201208.0,2020-04-23,8613.0,11,127.71392,0.2727,3,0,0
2130,Biguaçu,4202305.0,2020-04-23,69486.0,2,2.8782799999999997,0.0,0,0,0
2144,Florianópolis,4205407.0,2020-04-23,508826.0,249,48.93618,0.0161,4,5,0
2148,Governador Celso Ramos,4206009.0,2020-04-23,14606.0,3,20.5395,0.0,0,0,0
2182,Palhoça,4211900.0,2020-04-23,175272.0,20,11.410839999999999,0.05,1,1,0
2201,Santo Amaro da Imperatriz,4215703.0,2020-04-23,23579.0,3,12.723189999999999,0.0,0,0,0
2208,São José,4216602.0,2020-04-23,250181.0,48,19.18611,0.0208,1,2,0
2211,São Pedro de Alcântara,4217253.0,2020-04-23,5935.0,1,16.8492,0.0,0,0,0
2223,Águas Mornas,4200606.0,2020-04-23,6559.0,1,15.246229999999999,0.0,0,0,0
2226,Antônio Carlos,4201208.0,2020-04-24,8613.0,11,127.71392,0.2727,3,0,0
2237,Biguaçu,4202305.0,2020-04-24,69486.0,3,4.317419999999999,0.0,0,1,0
2251,Florianópolis,4205407.0,2020-04-24,508826.0,251,49.329240000000006,0.0159,4,2,0
2255,Governador Celso Ramos,4206009.0,2020-04-24,14606.0,3,20.5395,0.0,0,0,0
2289,Palhoça,4211900.0,2020-04-24,175272.0,22,12.551919999999999,0.0455,1,2,0
2308,Santo Amaro da Imperatriz,4215703.0,2020-04-24,23579.0,3,12.723189999999999,0.0,0,0,0
2315,São José,4216602.0,2020-04-24,250181.0,48,19.18611,0.0208,1,0,0
2318,São Pedro de Alcântara,4217253.0,2020-04-24,5935.0,1,16.8492,0.0,0,0,0
2330,Águas Mornas,4200606.0,2020-04-24,6559.0,1,15.246229999999999,0.0,0,0,0
2333,Antônio Carlos,4201208.0,2020-04-25,8613.0,11,127.71392,0.2727,3,0,0
2344,Biguaçu,4202305.0,2020-04-25,69486.0,3,4.317419999999999,0.0,0,0,0
2358,Florianópolis,4205407.0,2020-04-25,508826.0,252,49.52577,0.0159,4,1,0
2362,Governador Celso Ramos,4206009.0,2020-04-25,14606.0,3,20.5395,0.0,0,0,0
2396,Palhoça,4211900.0,2020-04-25,175272.0,23,13.12246,0.0435,1,1,0
2417,Santo Amaro da Imperatriz,4215703.0,2020-04-25,23579.0,3,12.723189999999999,0.0,0,0,0
2425,São José,4216602.0,2020-04-25,250181.0,48,19.18611,0.0208,1,0,0
2428,São Pedro de Alcântara,4217253.0,2020-04-25,5935.0,1,16.8492,0.0,0,0,0
2440,Águas Mornas,4200606.0,2020-04-25,6559.0,1,15.246229999999999,0.0,0,0,0
2443,Antônio Carlos,4201208.0,2020-04-26,8613.0,11,127.71392,0.2727,3,0,0
2454,Biguaçu,4202305.0,2020-04-26,69486.0,4,5.7565599999999995,0.0,0,1,0
2468,Florianópolis,4205407.0,2020-04-26,508826.0,258,50.70496,0.0155,4,6,0
2472,Governador Celso Ramos,4206009.0,2020-04-26,14606.0,3,20.5395,0.0,0,0,0
2507,Palhoça,4211900.0,2020-04-26,175272.0,24,13.693,0.0417,1,1,0
2529,Santo Amaro da Imperatriz,4215703.0,2020-04-26,23579.0,3,12.723189999999999,0.0,0,0,0
2537,São José,4216602.0,2020-04-26,250181.0,49,19.585820000000002,0.0204,1,1,0
2540,São Pedro de Alcântara,4217253.0,2020-04-26,5935.0,1,16.8492,0.0,0,0,0
2555,Águas Mornas,4200606.0,2020-04-26,6559.0,1,15.246229999999999,0.0,0,0,0
2558,Antônio Carlos,4201208.0,2020-04-27,8613.0,11,127.71392,0.2727,3,0,0
2569,Biguaçu,4202305.0,2020-04-27,69486.0,4,5.7565599999999995,0.0,0,0,0
2584,Florianópolis,4205407.0,2020-04-27,508826.0,263,51.68761,0.019,5,5,1
