,Unnamed: 0,Cidade,data,confirmados_por_100k,taxa_de_morte
112,917,Biguaçu,2020-04-10,2.87828,0.0
113,928,Florianópolis,2020-04-10,32.82065,0.018000000000000002
114,932,Governador Celso Ramos,2020-04-10,20.5395,0.0
115,956,Palhoça,2020-04-10,3.42325,0.1667
116,968,Santo Amaro da Imperatriz,2020-04-10,4.24106,0.0
117,975,São José,2020-04-10,9.99277,0.0
118,978,São Pedro de Alcântara,2020-04-10,16.8492,0.0
119,987,Águas Mornas,2020-04-10,15.24623,0.0
120,990,Antônio Carlos,2020-04-11,127.71392,0.2727
121,998,Biguaçu,2020-04-11,2.87828,0.0
122,1009,Florianópolis,2020-04-11,33.99983,0.0173
123,1013,Governador Celso Ramos,2020-04-11,20.5395,0.0
124,1037,Palhoça,2020-04-11,3.42325,0.1667
125,1050,Santo Amaro da Imperatriz,2020-04-11,4.24106,0.0
126,1057,São José,2020-04-11,9.59305,0.0
127,1060,São Pedro de Alcântara,2020-04-11,16.8492,0.0
128,1069,Águas Mornas,2020-04-11,15.24623,0.0
129,1072,Antônio Carlos,2020-04-12,127.71392,0.2727
130,1080,Biguaçu,2020-04-12,2.87828,0.0
131,1091,Florianópolis,2020-04-12,34.78596,0.0169
132,1095,Governador Celso Ramos,2020-04-12,20.5395,0.0
133,1120,Palhoça,2020-04-12,5.13488,0.1111
134,1133,Santo Amaro da Imperatriz,2020-04-12,4.24106,0.0
135,1140,São José,2020-04-12,9.59305,0.0
136,1143,São Pedro de Alcântara,2020-04-12,16.8492,0.0
137,1152,Águas Mornas,2020-04-12,15.24623,0.0
138,1155,Antônio Carlos,2020-04-13,127.71392,0.2727
139,1163,Biguaçu,2020-04-13,2.87828,0.0
140,1175,Florianópolis,2020-04-13,39.10964,0.0151
141,1179,Governador Celso Ramos,2020-04-13,20.5395,0.0
142,1205,Palhoça,2020-04-13,6.27596,0.0909
143,1219,Santo Amaro da Imperatriz,2020-04-13,4.24106,0.0
144,1226,São José,2020-04-13,11.1919,0.0
145,1229,São Pedro de Alcântara,2020-04-13,16.8492,0.0
146,1239,Águas Mornas,2020-04-13,15.24623,0.0
147,1242,Antônio Carlos,2020-04-14,127.71392,0.2727
148,1250,Biguaçu,2020-04-14,2.87828,0.0
149,1262,Florianópolis,2020-04-14,40.68188,0.0145
150,1266,Governador Celso Ramos,2020-04-14,20.5395,0.0
151,1292,Palhoça,2020-04-14,6.27596,0.0909
152,1306,Santo Amaro da Imperatriz,2020-04-14,4.24106,0.0
153,1313,São José,2020-04-14,12.39103,0.0
154,1316,São Pedro de Alcântara,2020-04-14,16.8492,0.0
155,1326,Águas Mornas,2020-04-14,15.24623,0.0
156,1329,Antônio Carlos,2020-04-15,127.71392,0.2727
157,1337,Biguaçu,2020-04-15,2.87828,0.0
158,1349,Florianópolis,2020-04-15,42.0576,0.013999999999999999
159,1353,Governador Celso Ramos,2020-04-15,20.5395,0.0
160,1379,Palhoça,2020-04-15,6.27596,0.0909
161,1394,Santo Amaro da Imperatriz,2020-04-15,4.24106,0.0
162,1401,São José,2020-04-15,12.39103,0.0
163,1404,São Pedro de Alcântara,2020-04-15,16.8492,0.0
164,1414,Águas Mornas,2020-04-15,15.24623,0.0
165,1417,Antônio Carlos,2020-04-16,127.71392,0.2727
166,1427,Biguaçu,2020-04-16,2.87828,0.0
167,1440,Florianópolis,2020-04-16,43.04025,0.0137
168,1444,Governador Celso Ramos,2020-04-16,20.5395,0.0
169,1472,Palhoça,2020-04-16,7.417039999999999,0.0769
170,1488,Santo Amaro da Imperatriz,2020-04-16,4.24106,0.0
171,1495,São José,2020-04-16,13.19045,0.0303
172,1498,São Pedro de Alcântara,2020-04-16,16.8492,0.0
173,1508,Águas Mornas,2020-04-16,15.24623,0.0
174,1511,Antônio Carlos,2020-04-17,127.71392,0.2727
175,1521,Biguaçu,2020-04-17,2.87828,0.0
176,1534,Florianópolis,2020-04-17,43.43332,0.0136
177,1538,Governador Celso Ramos,2020-04-17,20.5395,0.0
178,1569,Palhoça,2020-04-17,7.987589999999999,0.0714
179,1586,Santo Amaro da Imperatriz,2020-04-17,4.24106,0.0
180,1593,São José,2020-04-17,13.989870000000002,0.0286
181,1596,São Pedro de Alcântara,2020-04-17,16.8492,0.0
182,1606,Águas Mornas,2020-04-17,15.24623,0.0
183,1609,Antônio Carlos,2020-04-18,127.71392,0.2727
184,1619,Biguaçu,2020-04-18,2.87828,0.0
185,1633,Florianópolis,2020-04-18,44.02291,0.0134
186,1637,Governador Celso Ramos,2020-04-18,20.5395,0.0
187,1669,Palhoça,2020-04-18,7.987589999999999,0.0714
188,1686,Santo Amaro da Imperatriz,2020-04-18,4.24106,0.0
189,1693,São José,2020-04-18,13.989870000000002,0.0286
190,1696,São Pedro de Alcântara,2020-04-18,16.8492,0.0
191,1706,Águas Mornas,2020-04-18,15.24623,0.0
192,1709,Antônio Carlos,2020-04-19,127.71392,0.2727
193,1719,Biguaçu,2020-04-19,2.87828,0.0
194,1733,Florianópolis,2020-04-19,45.59515,0.0129
195,1737,Governador Celso Ramos,2020-04-19,20.5395,0.0
196,1769,Palhoça,2020-04-19,9.69921,0.0588
197,1787,Santo Amaro da Imperatriz,2020-04-19,4.24106,0.0
198,1794,São José,2020-04-19,16.78785,0.0238
199,1797,São Pedro de Alcântara,2020-04-19,16.8492,0.0
200,1808,Águas Mornas,2020-04-19,15.24623,0.0
201,1811,Antônio Carlos,2020-04-20,127.71392,0.2727
202,1821,Biguaçu,2020-04-20,2.87828,0.0
203,1835,Florianópolis,2020-04-20,46.77434,0.0126
204,1839,Governador Celso Ramos,2020-04-20,20.5395,0.0
205,1872,Palhoça,2020-04-20,9.69921,0.0588
206,1890,Santo Amaro da Imperatriz,2020-04-20,8.48212,0.0
207,1897,São José,2020-04-20,17.18756,0.0233
208,1900,São Pedro de Alcântara,2020-04-20,16.8492,0.0
209,1911,Águas Mornas,2020-04-20,15.24623,0.0
210,1914,Antônio Carlos,2020-04-21,127.71392,0.2727
211,1924,Biguaçu,2020-04-21,2.87828,0.0
212,1938,Florianópolis,2020-04-21,47.1674,0.0167
213,1942,Governador Celso Ramos,2020-04-21,20.5395,0.0
214,1975,Palhoça,2020-04-21,9.69921,0.0588
215,1993,Santo Amaro da Imperatriz,2020-04-21,8.48212,0.0
216,2000,São José,2020-04-21,17.58727,0.0227
217,2003,São Pedro de Alcântara,2020-04-21,16.8492,0.0
218,2014,Águas Mornas,2020-04-21,15.24623,0.0
219,2017,Antônio Carlos,2020-04-22,127.71392,0.2727
220,2027,Biguaçu,2020-04-22,2.87828,0.0
221,2041,Florianópolis,2020-04-22,47.95352000000001,0.0164
222,2045,Governador Celso Ramos,2020-04-22,20.5395,0.0
223,2078,Palhoça,2020-04-22,10.84029,0.0526
224,2096,Santo Amaro da Imperatriz,2020-04-22,12.72319,0.0
225,2103,São José,2020-04-22,18.38669,0.0217
226,2106,São Pedro de Alcântara,2020-04-22,16.8492,0.0
227,2117,Águas Mornas,2020-04-22,15.24623,0.0
228,2120,Antônio Carlos,2020-04-23,127.71392,0.2727
229,2130,Biguaçu,2020-04-23,2.87828,0.0
230,2144,Florianópolis,2020-04-23,48.93618,0.0161
231,2148,Governador Celso Ramos,2020-04-23,20.5395,0.0
232,2182,Palhoça,2020-04-23,11.41084,0.05
233,2201,Santo Amaro da Imperatriz,2020-04-23,12.72319,0.0
234,2208,São José,2020-04-23,19.18611,0.0208
235,2211,São Pedro de Alcântara,2020-04-23,16.8492,0.0
236,2223,Águas Mornas,2020-04-23,15.24623,0.0
237,2226,Antônio Carlos,2020-04-24,127.71392,0.2727
238,2237,Biguaçu,2020-04-24,4.3174199999999985,0.0
239,2251,Florianópolis,2020-04-24,49.32924000000001,0.0159
240,2255,Governador Celso Ramos,2020-04-24,20.5395,0.0
241,2289,Palhoça,2020-04-24,12.55192,0.0455
242,2308,Santo Amaro da Imperatriz,2020-04-24,12.72319,0.0
243,2315,São José,2020-04-24,19.18611,0.0208
244,2318,São Pedro de Alcântara,2020-04-24,16.8492,0.0
245,2330,Águas Mornas,2020-04-24,15.24623,0.0
246,2333,Antônio Carlos,2020-04-25,127.71392,0.2727
247,2344,Biguaçu,2020-04-25,4.3174199999999985,0.0
248,2358,Florianópolis,2020-04-25,49.52577,0.0159
249,2362,Governador Celso Ramos,2020-04-25,20.5395,0.0
250,2396,Palhoça,2020-04-25,13.12246,0.0435
251,2417,Santo Amaro da Imperatriz,2020-04-25,12.72319,0.0
252,2425,São José,2020-04-25,19.18611,0.0208
253,2428,São Pedro de Alcântara,2020-04-25,16.8492,0.0
254,2440,Águas Mornas,2020-04-25,15.24623,0.0
255,2443,Antônio Carlos,2020-04-26,127.71392,0.2727
256,2454,Biguaçu,2020-04-26,5.75656,0.0
257,2468,Florianópolis,2020-04-26,50.70496,0.0155
258,2472,Governador Celso Ramos,2020-04-26,20.5395,0.0
259,2507,Palhoça,2020-04-26,13.693,0.0417
260,2529,Santo Amaro da Imperatriz,2020-04-26,12.72319,0.0
261,2537,São José,2020-04-26,19.58582,0.0204
262,2540,São Pedro de Alcântara,2020-04-26,16.8492,0.0
263,2555,Águas Mornas,2020-04-26,15.24623,0.0
264,2558,Antônio Carlos,2020-04-27,127.71392,0.2727
265,2569,Biguaçu,2020-04-27,5.75656,0.0
266,2584,Florianópolis,2020-04-27,51.68761,0.019
267,2588,Governador Celso Ramos,2020-04-27,20.5395,0.0
268,2624,Palhoça,2020-04-27,14.26354,0.04
269,2646,Santo Amaro da Imperatriz,2020-04-27,12.72319,0.0
270,2654,São José,2020-04-27,19.58582,0.0204
271,2657,São Pedro de Alcântara,2020-04-27,16.8492,0.0
272,2672,Águas Mornas,2020-04-27,15.24623,0.0
273,2675,Antônio Carlos,2020-04-28,185.7657,0.1875
274,2687,Biguaçu,2020-04-28,11.51311,0.0
275,2702,Florianópolis,2020-04-28,65.6413,0.015
276,2707,Governador Celso Ramos,2020-04-28,34.23251,0.0
277,2744,Palhoça,2020-04-28,15.97517,0.0357
278,2768,Santo Amaro da Imperatriz,2020-04-28,16.96425,0.0
279,2776,São José,2020-04-28,20.38524,0.0196
280,2798,Águas Mornas,2020-04-28,15.24623,0.0
281,2802,Antônio Carlos,2020-04-29,174.15535,0.2
282,2814,Biguaçu,2020-04-29,11.51311,0.0
283,2829,Florianópolis,2020-04-29,66.03435999999999,0.0149
284,2834,Governador Celso Ramos,2020-04-29,34.23251,0.0
285,2871,Palhoça,2020-04-29,15.97517,0.0357
286,2895,Santo Amaro da Imperatriz,2020-04-29,12.72319,0.0
287,2904,São José,2020-04-29,20.38524,0.0196
288,2927,Águas Mornas,2020-04-29,15.24623,0.0
289,2931,Antônio Carlos,2020-04-30,185.7657,0.1875
290,2943,Biguaçu,2020-04-30,11.51311,0.0
291,2958,Florianópolis,2020-04-30,81.36377,0.0121
292,2964,Governador Celso Ramos,2020-04-30,47.92551,0.0
293,3003,Palhoça,2020-04-30,18.25734,0.0312
294,3027,Santo Amaro da Imperatriz,2020-04-30,16.96425,0.0
295,3036,São José,2020-04-30,21.58437,0.0185
296,3060,Águas Mornas,2020-04-30,30.49245,0.0
297,3064,Antônio Carlos,2020-05-01,139.32428000000002,0.25
298,3076,Biguaçu,2020-05-01,11.51311,0.0
299,3091,Florianópolis,2020-05-01,62.88987,0.0156
300,3097,Governador Celso Ramos,2020-05-01,34.23251,0.0
301,3136,Palhoça,2020-05-01,16.54571,0.0345
302,3160,Santo Amaro da Imperatriz,2020-05-01,12.72319,0.0
303,3169,São José,2020-05-01,17.98698,0.0222
304,3193,Águas Mornas,2020-05-01,30.49245,0.0
305,3198,Antônio Carlos,2020-05-02,139.32428000000002,0.3333
306,3211,Biguaçu,2020-05-02,11.51311,0.0
