,city,city_ibge_code,date,new_confirmed,new_deaths,latitude,longitude
686,São José,4216602.0,2020-04-06,0,0,-27.6136,-48.6366
689,São Pedro de Alcântara,4217253.0,2020-04-06,0,0,-27.5665,-48.8048
696,Águas Mornas,4200606.0,2020-04-06,1,0,-27.6963,-48.8243
699,Antônio Carlos,4201208.0,2020-04-07,1,0,-27.5191,-48.766000000000005
704,Biguaçu,4202305.0,2020-04-07,0,0,-27.496,-48.6598
713,Florianópolis,4205407.0,2020-04-07,15,1,-27.5945,-48.5477
715,Governador Celso Ramos,4206009.0,2020-04-07,0,0,-27.3172,-48.5576
734,Palhoça,4211900.0,2020-04-07,0,1,-27.6455,-48.6697
744,Santo Amaro da Imperatriz,4215703.0,2020-04-07,0,0,-27.6852,-48.7813
749,São José,4216602.0,2020-04-07,2,0,-27.6136,-48.6366
752,São Pedro de Alcântara,4217253.0,2020-04-07,0,0,-27.5665,-48.8048
759,Águas Mornas,4200606.0,2020-04-07,0,0,-27.6963,-48.8243
762,Antônio Carlos,4201208.0,2020-04-08,0,1,-27.5191,-48.766000000000005
767,Biguaçu,4202305.0,2020-04-08,1,0,-27.496,-48.6598
776,Florianópolis,4205407.0,2020-04-08,9,0,-27.5945,-48.5477
779,Governador Celso Ramos,4206009.0,2020-04-08,1,0,-27.3172,-48.5576
799,Palhoça,4211900.0,2020-04-08,1,0,-27.6455,-48.6697
809,Santo Amaro da Imperatriz,4215703.0,2020-04-08,0,0,-27.6852,-48.7813
815,São José,4216602.0,2020-04-08,1,0,-27.6136,-48.6366
818,São Pedro de Alcântara,4217253.0,2020-04-08,0,0,-27.5665,-48.8048
826,Águas Mornas,4200606.0,2020-04-08,0,0,-27.6963,-48.8243
829,Antônio Carlos,4201208.0,2020-04-09,1,0,-27.5191,-48.766000000000005
837,Biguaçu,4202305.0,2020-04-09,0,0,-27.496,-48.6598
848,Florianópolis,4205407.0,2020-04-09,43,0,-27.5945,-48.5477
852,Governador Celso Ramos,4206009.0,2020-04-09,0,0,-27.3172,-48.5576
875,Palhoça,4211900.0,2020-04-09,3,0,-27.6455,-48.6697
887,Santo Amaro da Imperatriz,4215703.0,2020-04-09,0,0,-27.6852,-48.7813
894,São José,4216602.0,2020-04-09,5,0,-27.6136,-48.6366
897,São Pedro de Alcântara,4217253.0,2020-04-09,0,0,-27.5665,-48.8048
906,Águas Mornas,4200606.0,2020-04-09,0,0,-27.6963,-48.8243
909,Antônio Carlos,4201208.0,2020-04-10,1,0,-27.5191,-48.766000000000005
917,Biguaçu,4202305.0,2020-04-10,0,0,-27.496,-48.6598
928,Florianópolis,4205407.0,2020-04-10,1,0,-27.5945,-48.5477
932,Governador Celso Ramos,4206009.0,2020-04-10,0,0,-27.3172,-48.5576
956,Palhoça,4211900.0,2020-04-10,-1,0,-27.6455,-48.6697
968,Santo Amaro da Imperatriz,4215703.0,2020-04-10,0,0,-27.6852,-48.7813
975,São José,4216602.0,2020-04-10,0,0,-27.6136,-48.6366
978,São Pedro de Alcântara,4217253.0,2020-04-10,0,0,-27.5665,-48.8048
987,Águas Mornas,4200606.0,2020-04-10,0,0,-27.6963,-48.8243
990,Antônio Carlos,4201208.0,2020-04-11,0,1,-27.5191,-48.766000000000005
998,Biguaçu,4202305.0,2020-04-11,0,0,-27.496,-48.6598
1009,Florianópolis,4205407.0,2020-04-11,6,0,-27.5945,-48.5477
1013,Governador Celso Ramos,4206009.0,2020-04-11,0,0,-27.3172,-48.5576
1037,Palhoça,4211900.0,2020-04-11,0,0,-27.6455,-48.6697
1050,Santo Amaro da Imperatriz,4215703.0,2020-04-11,0,0,-27.6852,-48.7813
1057,São José,4216602.0,2020-04-11,-1,0,-27.6136,-48.6366
1060,São Pedro de Alcântara,4217253.0,2020-04-11,0,0,-27.5665,-48.8048
1069,Águas Mornas,4200606.0,2020-04-11,0,0,-27.6963,-48.8243
1072,Antônio Carlos,4201208.0,2020-04-12,0,0,-27.5191,-48.766000000000005
1080,Biguaçu,4202305.0,2020-04-12,0,0,-27.496,-48.6598
1091,Florianópolis,4205407.0,2020-04-12,4,0,-27.5945,-48.5477
1095,Governador Celso Ramos,4206009.0,2020-04-12,0,0,-27.3172,-48.5576
1120,Palhoça,4211900.0,2020-04-12,3,0,-27.6455,-48.6697
1133,Santo Amaro da Imperatriz,4215703.0,2020-04-12,0,0,-27.6852,-48.7813
1140,São José,4216602.0,2020-04-12,0,0,-27.6136,-48.6366
1143,São Pedro de Alcântara,4217253.0,2020-04-12,0,0,-27.5665,-48.8048
1152,Águas Mornas,4200606.0,2020-04-12,0,0,-27.6963,-48.8243
1155,Antônio Carlos,4201208.0,2020-04-13,0,0,-27.5191,-48.766000000000005
1163,Biguaçu,4202305.0,2020-04-13,0,0,-27.496,-48.6598
1175,Florianópolis,4205407.0,2020-04-13,22,0,-27.5945,-48.5477
1179,Governador Celso Ramos,4206009.0,2020-04-13,0,0,-27.3172,-48.5576
1205,Palhoça,4211900.0,2020-04-13,2,0,-27.6455,-48.6697
1219,Santo Amaro da Imperatriz,4215703.0,2020-04-13,0,0,-27.6852,-48.7813
1226,São José,4216602.0,2020-04-13,4,0,-27.6136,-48.6366
1229,São Pedro de Alcântara,4217253.0,2020-04-13,0,0,-27.5665,-48.8048
1239,Águas Mornas,4200606.0,2020-04-13,0,0,-27.6963,-48.8243
1242,Antônio Carlos,4201208.0,2020-04-14,0,0,-27.5191,-48.766000000000005
1250,Biguaçu,4202305.0,2020-04-14,0,0,-27.496,-48.6598
1262,Florianópolis,4205407.0,2020-04-14,8,0,-27.5945,-48.5477
1266,Governador Celso Ramos,4206009.0,2020-04-14,0,0,-27.3172,-48.5576
1292,Palhoça,4211900.0,2020-04-14,0,0,-27.6455,-48.6697
1306,Santo Amaro da Imperatriz,4215703.0,2020-04-14,0,0,-27.6852,-48.7813
1313,São José,4216602.0,2020-04-14,3,0,-27.6136,-48.6366
1316,São Pedro de Alcântara,4217253.0,2020-04-14,0,0,-27.5665,-48.8048
1326,Águas Mornas,4200606.0,2020-04-14,0,0,-27.6963,-48.8243
1329,Antônio Carlos,4201208.0,2020-04-15,0,0,-27.5191,-48.766000000000005
1337,Biguaçu,4202305.0,2020-04-15,0,0,-27.496,-48.6598
1349,Florianópolis,4205407.0,2020-04-15,7,0,-27.5945,-48.5477
1353,Governador Celso Ramos,4206009.0,2020-04-15,0,0,-27.3172,-48.5576
1379,Palhoça,4211900.0,2020-04-15,0,0,-27.6455,-48.6697
1394,Santo Amaro da Imperatriz,4215703.0,2020-04-15,0,0,-27.6852,-48.7813
1401,São José,4216602.0,2020-04-15,0,0,-27.6136,-48.6366
1404,São Pedro de Alcântara,4217253.0,2020-04-15,0,0,-27.5665,-48.8048
1414,Águas Mornas,4200606.0,2020-04-15,0,0,-27.6963,-48.8243
1417,Antônio Carlos,4201208.0,2020-04-16,0,0,-27.5191,-48.766000000000005
1427,Biguaçu,4202305.0,2020-04-16,0,0,-27.496,-48.6598
1440,Florianópolis,4205407.0,2020-04-16,5,0,-27.5945,-48.5477
1444,Governador Celso Ramos,4206009.0,2020-04-16,0,0,-27.3172,-48.5576
1472,Palhoça,4211900.0,2020-04-16,2,0,-27.6455,-48.6697
1488,Santo Amaro da Imperatriz,4215703.0,2020-04-16,0,0,-27.6852,-48.7813
1495,São José,4216602.0,2020-04-16,2,1,-27.6136,-48.6366
1498,São Pedro de Alcântara,4217253.0,2020-04-16,0,0,-27.5665,-48.8048
1508,Águas Mornas,4200606.0,2020-04-16,0,0,-27.6963,-48.8243
1511,Antônio Carlos,4201208.0,2020-04-17,0,0,-27.5191,-48.766000000000005
1521,Biguaçu,4202305.0,2020-04-17,0,0,-27.496,-48.6598
1534,Florianópolis,4205407.0,2020-04-17,2,0,-27.5945,-48.5477
1538,Governador Celso Ramos,4206009.0,2020-04-17,0,0,-27.3172,-48.5576
1569,Palhoça,4211900.0,2020-04-17,1,0,-27.6455,-48.6697
1586,Santo Amaro da Imperatriz,4215703.0,2020-04-17,0,0,-27.6852,-48.7813
1593,São José,4216602.0,2020-04-17,2,0,-27.6136,-48.6366
1596,São Pedro de Alcântara,4217253.0,2020-04-17,0,0,-27.5665,-48.8048
1606,Águas Mornas,4200606.0,2020-04-17,0,0,-27.6963,-48.8243
1609,Antônio Carlos,4201208.0,2020-04-18,0,0,-27.5191,-48.766000000000005
1619,Biguaçu,4202305.0,2020-04-18,0,0,-27.496,-48.6598
1633,Florianópolis,4205407.0,2020-04-18,3,0,-27.5945,-48.5477
1637,Governador Celso Ramos,4206009.0,2020-04-18,0,0,-27.3172,-48.5576
1669,Palhoça,4211900.0,2020-04-18,0,0,-27.6455,-48.6697
1686,Santo Amaro da Imperatriz,4215703.0,2020-04-18,0,0,-27.6852,-48.7813
1693,São José,4216602.0,2020-04-18,0,0,-27.6136,-48.6366
1696,São Pedro de Alcântara,4217253.0,2020-04-18,0,0,-27.5665,-48.8048
1706,Águas Mornas,4200606.0,2020-04-18,0,0,-27.6963,-48.8243
1709,Antônio Carlos,4201208.0,2020-04-19,0,0,-27.5191,-48.766000000000005
1719,Biguaçu,4202305.0,2020-04-19,0,0,-27.496,-48.6598
1733,Florianópolis,4205407.0,2020-04-19,8,0,-27.5945,-48.5477
1737,Governador Celso Ramos,4206009.0,2020-04-19,0,0,-27.3172,-48.5576
1769,Palhoça,4211900.0,2020-04-19,3,0,-27.6455,-48.6697
1787,Santo Amaro da Imperatriz,4215703.0,2020-04-19,0,0,-27.6852,-48.7813
1794,São José,4216602.0,2020-04-19,7,0,-27.6136,-48.6366
1797,São Pedro de Alcântara,4217253.0,2020-04-19,0,0,-27.5665,-48.8048
1808,Águas Mornas,4200606.0,2020-04-19,0,0,-27.6963,-48.8243
1811,Antônio Carlos,4201208.0,2020-04-20,0,0,-27.5191,-48.766000000000005
1821,Biguaçu,4202305.0,2020-04-20,0,0,-27.496,-48.6598
1835,Florianópolis,4205407.0,2020-04-20,6,0,-27.5945,-48.5477
1839,Governador Celso Ramos,4206009.0,2020-04-20,0,0,-27.3172,-48.5576
1872,Palhoça,4211900.0,2020-04-20,0,0,-27.6455,-48.6697
1890,Santo Amaro da Imperatriz,4215703.0,2020-04-20,1,0,-27.6852,-48.7813
1897,São José,4216602.0,2020-04-20,1,0,-27.6136,-48.6366
1900,São Pedro de Alcântara,4217253.0,2020-04-20,0,0,-27.5665,-48.8048
1911,Águas Mornas,4200606.0,2020-04-20,0,0,-27.6963,-48.8243
1914,Antônio Carlos,4201208.0,2020-04-21,0,0,-27.5191,-48.766000000000005
1924,Biguaçu,4202305.0,2020-04-21,0,0,-27.496,-48.6598
1938,Florianópolis,4205407.0,2020-04-21,2,1,-27.5945,-48.5477
1942,Governador Celso Ramos,4206009.0,2020-04-21,0,0,-27.3172,-48.5576
1975,Palhoça,4211900.0,2020-04-21,0,0,-27.6455,-48.6697
1993,Santo Amaro da Imperatriz,4215703.0,2020-04-21,0,0,-27.6852,-48.7813
2000,São José,4216602.0,2020-04-21,1,0,-27.6136,-48.6366
2003,São Pedro de Alcântara,4217253.0,2020-04-21,0,0,-27.5665,-48.8048
2014,Águas Mornas,4200606.0,2020-04-21,0,0,-27.6963,-48.8243
2017,Antônio Carlos,4201208.0,2020-04-22,0,0,-27.5191,-48.766000000000005
2027,Biguaçu,4202305.0,2020-04-22,0,0,-27.496,-48.6598
2041,Florianópolis,4205407.0,2020-04-22,4,0,-27.5945,-48.5477
2045,Governador Celso Ramos,4206009.0,2020-04-22,0,0,-27.3172,-48.5576
2078,Palhoça,4211900.0,2020-04-22,2,0,-27.6455,-48.6697
2096,Santo Amaro da Imperatriz,4215703.0,2020-04-22,1,0,-27.6852,-48.7813
2103,São José,4216602.0,2020-04-22,2,0,-27.6136,-48.6366
2106,São Pedro de Alcântara,4217253.0,2020-04-22,0,0,-27.5665,-48.8048
2117,Águas Mornas,4200606.0,2020-04-22,0,0,-27.6963,-48.8243
2120,Antônio Carlos,4201208.0,2020-04-23,0,0,-27.5191,-48.766000000000005
2130,Biguaçu,4202305.0,2020-04-23,0,0,-27.496,-48.6598
2144,Florianópolis,4205407.0,2020-04-23,5,0,-27.5945,-48.5477
2148,Governador Celso Ramos,4206009.0,2020-04-23,0,0,-27.3172,-48.5576
2182,Palhoça,4211900.0,2020-04-23,1,0,-27.6455,-48.6697
2201,Santo Amaro da Imperatriz,4215703.0,2020-04-23,0,0,-27.6852,-48.7813
2208,São José,4216602.0,2020-04-23,2,0,-27.6136,-48.6366
2211,São Pedro de Alcântara,4217253.0,2020-04-23,0,0,-27.5665,-48.8048
2223,Águas Mornas,4200606.0,2020-04-23,0,0,-27.6963,-48.8243
2226,Antônio Carlos,4201208.0,2020-04-24,0,0,-27.5191,-48.766000000000005
2237,Biguaçu,4202305.0,2020-04-24,1,0,-27.496,-48.6598
2251,Florianópolis,4205407.0,2020-04-24,2,0,-27.5945,-48.5477
2255,Governador Celso Ramos,4206009.0,2020-04-24,0,0,-27.3172,-48.5576
2289,Palhoça,4211900.0,2020-04-24,2,0,-27.6455,-48.6697
2308,Santo Amaro da Imperatriz,4215703.0,2020-04-24,0,0,-27.6852,-48.7813
2315,São José,4216602.0,2020-04-24,0,0,-27.6136,-48.6366
2318,São Pedro de Alcântara,4217253.0,2020-04-24,0,0,-27.5665,-48.8048
2330,Águas Mornas,4200606.0,2020-04-24,0,0,-27.6963,-48.8243
2333,Antônio Carlos,4201208.0,2020-04-25,0,0,-27.5191,-48.766000000000005
2344,Biguaçu,4202305.0,2020-04-25,0,0,-27.496,-48.6598
2358,Florianópolis,4205407.0,2020-04-25,1,0,-27.5945,-48.5477
2362,Governador Celso Ramos,4206009.0,2020-04-25,0,0,-27.3172,-48.5576
2396,Palhoça,4211900.0,2020-04-25,1,0,-27.6455,-48.6697
2417,Santo Amaro da Imperatriz,4215703.0,2020-04-25,0,0,-27.6852,-48.7813
2425,São José,4216602.0,2020-04-25,0,0,-27.6136,-48.6366
2428,São Pedro de Alcântara,4217253.0,2020-04-25,0,0,-27.5665,-48.8048
